RANK	DOC-ID	SCORE		REL-JUDGMENT	PRECISION	RECALL	NDCG
1		2973	1.0088185		1			1.00		0.09	1.00
2		3075	0.9137456		1			1.00		0.18	1.00
3		2266	0.8261164		1			1.00		0.27	1.22
4		1601	0.76765776		1			1.00		0.36	1.20
5		2557	0.71334237		0			0.80		0.36	1.20
6		0950	0.68843037		1			0.83		0.45	1.28
7		1468	0.68843037		0			0.71		0.45	1.28
8		3156	0.68843037		1			0.75		0.55	1.14
9		2433	0.594452		0			0.67		0.55	1.28
10		2570	0.594452		0			0.60		0.55	1.28
11		2289	0.5686563		0			0.55		0.55	1.28
12		1957	0.5663724		0			0.50		0.55	1.28
13		2838	0.5339811		0			0.46		0.55	1.20
14		2692	0.48292387		0			0.43		0.55	1.20
15		2114	0.47197703		0			0.40		0.55	1.20
16		0141	0.41395304		1			0.44		0.64	1.00
17		0392	0.41395304		0			0.41		0.64	1.20
18		1302	0.41395304		0			0.39		0.64	1.20
19		2685	0.40970725		0			0.37		0.64	1.20
20		2723	0.37758163		0			0.35		0.64	1.20
21		2896	0.35849383		0			0.33		0.64	1.20
22		1262	0.35481688		0			0.32		0.64	1.20
23		1367	0.35481688		0			0.30		0.64	1.20
24		1828	0.35481688		0			0.29		0.64	1.20
25		2182	0.35481688		0			0.28		0.64	1.20
26		2700	0.35481688		0			0.27		0.64	1.15
27		1158	0.33452457		0			0.26		0.64	1.15
28		2714	0.31291908		1			0.29		0.73	1.00
29		2785	0.30728042		0			0.28		0.73	1.15
30		0371	0.29918474		0			0.27		0.73	1.15
31		1795	0.29568073		0			0.26		0.73	1.15
32		2952	0.29568073		0			0.25		0.73	1.15
33		2895	0.292709		0			0.24		0.73	1.15
34		1811	0.2897068		0			0.24		0.73	1.15
35		1660	0.28207406		0			0.23		0.73	1.15
36		1952	0.28207406		0			0.22		0.73	1.15
37		2007	0.28207406		0			0.22		0.73	1.15
38		2342	0.2644649		0			0.21		0.73	1.15
39		2401	0.25606704		0			0.21		0.73	1.15
40		2865	0.25606704		0			0.20		0.73	1.15
41		3059	0.25606704		0			0.20		0.73	1.15
42		2080	0.2508934		0			0.19		0.73	1.15
43		3073	0.2508934		0			0.19		0.73	1.15
44		1796	0.2493206		0			0.18		0.73	1.15
45		0270	0.2468148		0			0.18		0.73	1.15
46		0804	0.2468148		0			0.17		0.73	1.15
47		1342	0.2468148		0			0.17		0.73	1.15
48		2226	0.2468148		0			0.17		0.73	1.15
49		2325	0.2468148		0			0.16		0.73	1.15
50		1569	0.2365446		0			0.16		0.73	1.15
51		3044	0.2365446		0			0.16		0.73	1.15
52		2884	0.23321806		0			0.15		0.73	1.15
53		2851	0.23140681		0			0.15		0.73	1.15
54		2902	0.21591799		0			0.15		0.73	1.15
55		2950	0.21591799		0			0.15		0.73	1.15
56		3166	0.21591799		0			0.14		0.73	1.15
57		1551	0.21374789		0			0.14		0.73	1.15
58		1374	0.21155554		0			0.14		0.73	1.15
59		1658	0.21155554		0			0.14		0.73	1.15
60		1851	0.21155554		0			0.13		0.73	1.15
61		1953	0.21155554		0			0.13		0.73	1.15
62		2417	0.21155554		0			0.13		0.73	1.15
63		2505	0.21155554		0			0.13		0.73	1.15
64		2725	0.21155554		0			0.13		0.73	1.15
65		2830	0.21155554		0			0.12		0.73	1.15
66		2863	0.21155554		0			0.12		0.73	1.15
67		3061	0.21155554		0			0.12		0.73	1.15
68		2740	0.20907786		0			0.12		0.73	1.15
69		1008	0.20697652		0			0.12		0.73	1.15
70		1380	0.20697652		0			0.11		0.73	1.15
71		2727	0.20697652		0			0.11		0.73	1.15
72		1747	0.20485362		0			0.11		0.73	1.15
73		1846	0.20485362		0			0.11		0.73	1.15
74		2175	0.20485362		0			0.11		0.73	1.15
75		2195	0.20485362		0			0.11		0.73	1.15
76		1873	0.19945648		0			0.11		0.73	1.15
77		1924	0.19710524		0			0.10		0.73	1.15
78		2146	0.19710524		0			0.10		0.73	1.15
79		2273	0.19710524		0			0.10		0.73	1.15
80		2283	0.19710524		0			0.10		0.73	1.15
81		2903	0.19710524		0			0.10		0.73	1.15
82		3006	0.19710524		0			0.10		0.73	1.15
83		1392	0.18321247		0			0.10		0.73	1.15
84		2490	0.18321247		0			0.10		0.73	1.15
85		2679	0.18321247		0			0.09		0.73	1.15
86		1200	0.17740844		0			0.09		0.73	1.15
87		1341	0.17740844		0			0.09		0.73	1.15
88		1471	0.17740844		0			0.09		0.73	1.15
89		1536	0.17740844		0			0.09		0.73	1.15
90		1554	0.17740844		0			0.09		0.73	1.15
91		1603	0.17740844		0			0.09		0.73	1.15
92		1960	0.17740844		0			0.09		0.73	1.15
93		2514	0.17740844		0			0.09		0.73	1.11
94		3175	0.17740844		1			0.10		0.82	1.12
95		2025	0.1762963		0			0.09		0.82	1.11
96		2222	0.1762963		0			0.09		0.82	1.11
97		2236	0.1762963		0			0.09		0.82	1.11
98		2362	0.1762963		0			0.09		0.82	1.11
99		2426	0.1762963		0			0.09		0.82	1.11
100		2520	0.1762963		0			0.09		0.82	1.11
